,episode_id,url,show_id,show_name,episode_name,season_n,episode_n,type_ep,airstamp,runtime,average_rating,show_type,show_language,show_genres,show_status,showed_in
58,3184117,https://www.tvmaze.com/episodes/3184117/poklady-klementina-1x04-richentalova-kronika,83539,Poklady Klementina,Richentalova kronika,1,4,regular,2024-01-31T11:00:00+00:00,26.0,,Documentary,Czech,[],To Be Determined,IVysílání
59,2743194,https://www.tvmaze.com/episodes/2743194/19th-floor-1x21-episode-21,73971,19th Floor,Episode 21,1,21,regular,2024-01-31T11:19:00+00:00,41.0,,Scripted,Chinese,"['Drama', 'Thriller', 'Mystery']",Ended,Mango TV
60,2743195,https://www.tvmaze.com/episodes/2743195/19th-floor-1x22-episode-22,73971,19th Floor,Episode 22,1,22,regular,2024-01-31T11:19:00+00:00,42.0,,Scripted,Chinese,"['Drama', 'Thriller', 'Mystery']",Ended,Mango TV
61,2754856,https://www.tvmaze.com/episodes/2754856/neighbours-39x79-episode-8982,5420,Neighbours,Episode 8982,39,79,regular,2024-01-31T12:00:00+00:00,23.0,8.0,Scripted,English,['Drama'],Running,Prime Video
62,2825693,https://www.tvmaze.com/episodes/2825693/paradise-hotel-16x06-episode-6,9035,Paradise Hotel,Episode 6,16,6,regular,2024-01-31T12:00:00+00:00,40.0,,Reality,Norwegian,"['Drama', 'Romance']",Running,Viaplay
63,2730513,https://www.tvmaze.com/episodes/2730513/off-gun-fun-night-s02-special-offgun-fun-night-special-with-tay-new-junior-and-mark,34499,Off Gun Fun Night,"OffGun Fun Night: Special with Tay, New, Junior, and Mark",2,0,significant_special,2024-01-31T12:00:00+00:00,27.0,,Talk Show,Thai,"['Drama', 'Comedy']",Ended,LINE TV
64,2760668,https://www.tvmaze.com/episodes/2760668/pod-save-america-2024-01-31-trumpworld-takes-on-taylor-swift,39114,Pod Save America,Trumpworld Takes on Taylor Swift,2024,12,regular,2024-01-31T12:00:00+00:00,75.0,,Talk Show,English,[],Running,YouTube
65,2761121,https://www.tvmaze.com/episodes/2761121/gods-school-the-olympian-gods-1x08-episode-8-hera-and-zeus,40868,Gods' School: The Olympian Gods,Episode 8 - Hera and Zeus,1,8,regular,2024-01-31T12:00:00+00:00,15.0,,Animation,English,[],Running,YouTube
66,2757414,https://www.tvmaze.com/episodes/2757414/good-mythical-morning-25x18-the-best-new-food-trends-of-2024-taste-test,41611,Good Mythical Morning,The Best New Food Trends Of 2024 (Taste Test),25,18,regular,2024-01-31T12:00:00+00:00,,,Talk Show,English,"['Comedy', 'Food', 'Family']",Running,YouTube
67,2760395,https://www.tvmaze.com/episodes/2760395/good-mythical-more-25x18-we-switch-wives,41612,Good Mythical MORE,We Switch Wives,25,18,regular,2024-01-31T12:00:00+00:00,12.0,,Talk Show,English,[],Running,YouTube
68,2796543,https://www.tvmaze.com/episodes/2796543/sereza-i-mikrofon-podkast-2024-01-31-cto-budet-s-tvorcestvom-kreator-aleksandr-dobrokotov-ai-molodca,47897,Сережа и микрофон. Подкаст,Что будет с творчеством | КРЕАТОР АЛЕКСАНДР ДОБРОКОТОВ (AI Molodca),2024,4,regular,2024-01-31T12:00:00+00:00,90.0,,Talk Show,Russian,[],Running,YouTube
69,2745713,https://www.tvmaze.com/episodes/2745713/alle-mot-alle-8x15-rufsete-rokade,49859,Alle mot alle,Rufsete rokade,8,15,regular,2024-01-31T12:00:00+00:00,43.0,,Game Show,Norwegian,['Comedy'],Running,Max
70,2760231,https://www.tvmaze.com/episodes/2760231/marvel-studios-assembled-2x05-the-making-of-echo,53613,Marvel Studios: Assembled,The Making of Echo,2,5,regular,2024-01-31T12:00:00+00:00,47.0,8.3,Documentary,English,[],Running,Disney+
71,2749915,https://www.tvmaze.com/episodes/2749915/judy-justice-3x10-music-partnership-fiasco-part-2,57806,Judy Justice,Music Partnership Fiasco (Part 2),3,10,regular,2024-01-31T12:00:00+00:00,23.0,,Reality,English,['Legal'],Running,Prime Video
72,2664136,https://www.tvmaze.com/episodes/2664136/hollywood-houselift-with-jeff-lewis-2x10-the-finish-line,61874,Hollywood Houselift with Jeff Lewis,"""The Finish Line""",2,10,regular,2024-01-31T12:00:00+00:00,45.0,,Reality,English,['DIY'],To Be Determined,Amazon Freevee
